feature,feature value,n_samples,precision,recall,fbeta,fscore
race,White,5587,0.7183770883054893,0.6404255319148936,0.6771653543307087,0.6771653543307087
race,Asian-Pac-Islander,212,0.7627118644067796,0.7377049180327869,0.7500000000000001,0.7500000000000001
race,Black,603,0.676923076923077,0.5789473684210527,0.624113475177305,0.624113475177305
race,Amer-Indian-Eskimo,50,0.6666666666666666,0.25,0.36363636363636365,0.36363636363636365
race,Other,56,1.0,0.6,0.7499999999999999,0.7499999999999999
sex,Male,4330,0.7188823031329382,0.6451367781155015,0.6800160192230676,0.6800160192230676
sex,Female,2178,0.7184466019417476,0.6065573770491803,0.6577777777777777,0.6577777777777777
native-country,United-States,5775,0.7200634417129262,0.6403385049365303,0.6778648749533408,0.6778648749533408
native-country,Yugoslavia,1,0.0,1.0,0.0,0.0
native-country,Canada,24,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
native-country,India,21,1.0,0.6363636363636364,0.7777777777777778,0.7777777777777778
native-country,Poland,16,0.6,0.75,0.6666666666666665,0.6666666666666665
native-country,Mexico,150,0.75,0.375,0.5,0.5
native-country,Puerto-Rico,23,1.0,0.5,0.6666666666666666,0.6666666666666666
native-country,Italy,15,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
native-country,Jamaica,23,0.6666666666666666,1.0,0.8,0.8
native-country,Philippines,43,0.75,0.75,0.75,0.75
native-country,Greece,6,1.0,0.0,0.0,0.0
native-country,Columbia,20,1.0,0.0,0.0,0.0
native-country,,0,1.0,1.0,1.0,1.0
native-country,China,18,0.6,0.5,0.5454545454545454,0.5454545454545454
native-country,Dominican-Republic,17,1.0,0.0,0.0,0.0
native-country,Ecuador,4,1.0,0.0,0.0,0.0
native-country,Cuba,22,0.6,0.6,0.6,0.6
native-country,Germany,29,0.625,0.7142857142857143,0.6666666666666666,0.6666666666666666
native-country,El-Salvador,17,1.0,1.0,1.0,1.0
native-country,Japan,13,1.0,0.8,0.888888888888889,0.888888888888889
native-country,Vietnam,9,1.0,1.0,1.0,1.0
native-country,Iran,7,0.0,0.0,0.0,0.0
native-country,Trinadad&Tobago,9,1.0,1.0,1.0,1.0
native-country,France,5,1.0,0.25,0.4,0.4
native-country,Peru,10,0.5,1.0,0.6666666666666666,0.6666666666666666
native-country,Guatemala,10,1.0,0.0,0.0,0.0
native-country,Scotland,2,1.0,1.0,1.0,1.0
native-country,England,15,0.25,0.3333333333333333,0.28571428571428575,0.28571428571428575
native-country,South,17,0.75,0.6,0.6666666666666665,0.6666666666666665
native-country,Haiti,6,1.0,1.0,1.0,1.0
native-country,Outlying-US(Guam-USVI-etc),5,1.0,1.0,1.0,1.0
native-country,Thailand,6,1.0,1.0,1.0,1.0
native-country,Honduras,5,1.0,1.0,1.0,1.0
native-country,Portugal,4,1.0,0.0,0.0,0.0
native-country,Taiwan,11,0.8,0.8,0.8000000000000002,0.8000000000000002
native-country,Nicaragua,5,1.0,1.0,1.0,1.0
native-country,Laos,2,1.0,1.0,1.0,1.0
native-country,Hungary,5,1.0,1.0,1.0,1.0
native-country,Hong,2,1.0,1.0,1.0,1.0
native-country,Cambodia,2,0.0,1.0,0.0,0.0
native-country,Ireland,3,1.0,1.0,1.0,1.0
