feature,feature value,n_samples,precision,recall,fbeta,fscore
native-country,Philippines,31,0.6666666666666666,1.0,0.8,0.8
native-country,Peru,9,0.0,1.0,0.0,0.0
native-country,Dominican-Republic,11,1.0,1.0,1.0,1.0
native-country,Mexico,122,1.0,0.2857142857142857,0.4444444444444445,0.4444444444444445
native-country,Nicaragua,10,1.0,1.0,1.0,1.0
native-country,,0,1.0,1.0,1.0,1.0
native-country,Japan,7,1.0,1.0,1.0,1.0
native-country,Cuba,14,0.5,0.75,0.6,0.6
native-country,Italy,18,0.6666666666666666,0.5,0.5714285714285715,0.5714285714285715
native-country,Trinadad&Tobago,3,1.0,1.0,1.0,1.0
native-country,China,22,0.6,0.375,0.4615384615384615,0.4615384615384615
native-country,Guatemala,13,1.0,0.3333333333333333,0.5,0.5
native-country,Ecuador,5,1.0,0.0,0.0,0.0
native-country,Hong,4,0.0,1.0,0.0,0.0
native-country,El-Salvador,28,0.6666666666666666,1.0,0.8,0.8
native-country,England,21,0.2857142857142857,0.4,0.3333333333333333,0.3333333333333333
native-country,Puerto-Rico,15,0.0,0.0,0.0,0.0
native-country,Haiti,11,1.0,0.0,0.0,0.0
native-country,Ireland,4,1.0,1.0,1.0,1.0
native-country,India,18,0.8571428571428571,0.6666666666666666,0.75,0.75
native-country,Canada,24,0.9,0.9,0.9,0.9
native-country,Portugal,7,0.5,1.0,0.6666666666666666,0.6666666666666666
native-country,Columbia,15,1.0,1.0,1.0,1.0
native-country,Cambodia,6,1.0,0.0,0.0,0.0
native-country,Iran,5,1.0,0.5,0.6666666666666666,0.6666666666666666
native-country,Taiwan,10,0.7142857142857143,1.0,0.8333333333333333,0.8333333333333333
native-country,Vietnam,14,1.0,0.0,0.0,0.0
native-country,France,4,1.0,1.0,1.0,1.0
native-country,Yugoslavia,5,1.0,0.0,0.0,0.0
native-country,Poland,10,1.0,0.0,0.0,0.0
native-country,Greece,2,1.0,1.0,1.0,1.0
native-country,Scotland,3,1.0,0.0,0.0,0.0
native-country,Laos,2,1.0,1.0,1.0,1.0
native-country,Honduras,4,1.0,1.0,1.0,1.0
native-country,Outlying-US(Guam-USVI-etc),1,1.0,1.0,1.0,1.0
native-country,Hungary,1,1.0,0.0,0.0,0.0
